measureDevice,measurePt,yPos,yVelo,direction,yAccel,yJerk,index1_disp_peak,index2_disp_peak_moment,index3_disp_interval,index4_velo_peak,index5_velo_peak_moment,index6_velo_rising_time,index7_accel_peak,index8_accel_peak_moment,index9_accel_interval,useless
IDS,2,-1500,30000,1,1,40,-0.119830726361063,10.3108666666667,0.943261334928655,23335.9499761195,0.943250000000003,0.809750000000005,0.955580240108435,1.88655,0.887086475316596,4
IDS,2,-3000,5000,1,1,40,-0.205889225453272,13.7444666666667,2.49322988841366,5073.42138083466,0.437000000000005,0.318050000000007,0.801244019902992,4.9866,0.363918719258457,5
IDS,2,-3000,30000,1,1,40,-0.206510564396467,10.3093,9.33458519838862,23336.1343453966,0.943300000000001,0.809750000000001,0.955421092611579,1.59865,0.935550438415481,6
IDS,2,0,5000,1,1,80,-0.034132751765649,0,2.49277546644534,5190.62238059731,0.4267,0.310850000000002,0.8160199781307,4.98585,0.386594688263687,7
IDS,2,0,30000,1,1,80,-0.0298815154291769,10.3099333333333,0.94297963395731,23439.9166657902,0.942999999999998,0.811399999999996,0.960501689841557,1.88605,0.942918133813798,8
IDS,2,-1500,5000,1,1,80,-0.116742092756567,13.7355666666667,2.49290430918716,5073.175890587,0.426849999999995,0.310899999999997,0.815973541516079,4.98589999999999,0.355767032216863,9
IDS,2,-1500,30000,1,1,80,-0.12140894040211,10.3097333333333,0.942978733321709,23438.9867289517,0.942999999999998,0.811349999999997,0.955569432939299,1.8859,0.885733135703545,10
IDS,2,-3000,5000,1,1,80,-0.206429813309114,13.7386666666667,2.49286306150898,5072.30832559121,0.426950000000005,0.311,0.815906064696113,4.98585000000001,0.355892636701668,11
IDS,2,-3000,30000,1,1,80,-0.206801224759905,10.3065000000003,9.33162838453336,23435.9827956254,0.94305,0.811400000000006,0.955394164261164,1.59095,0.933150083011512,12
IDS,2,0,5000,1,1,140,-0.0349564335500835,0,2.49271081318208,5186.63037763381,0.423950000000002,0.309000000000001,0.820032078900552,4.98575,0.384293576971726,13
IDS,2,0,30000,1,1,140,-0.0308520657439146,10.3100666666667,0.942944989970098,23465.9570454101,0.942999999999998,0.811799999999998,0.960697214611737,1.88595,0.942871124467098,14
IDS,2,-1500,5000,1,1,140,-0.117142207329152,13.734,2.49287202779681,5077.38370459904,0.424000000000007,0.308800000000005,0.819932205667995,4.98580000000001,0.35373851836521,15
IDS,2,-1500,30000,1,1,140,-0.122796029524125,10.3094333333333,0.94294619110976,23466.9072545408,0.942899999999998,0.81175,0.955447342863005,1.88585,0.885410108755748,16
IDS,2,-3000,5000,1,1,140,-0.207696366432477,13.7375333333334,2.49280603838695,5073.83916066294,0.424199999999999,0.309049999999999,0.819970475070081,4.98580000000001,0.353629230416551,17
IDS,2,-3000,30000,1,1,140,-0.208514225268573,10.3062,9.3311127714229,23456.9449760285,0.943000000000005,0.811800000000005,0.955271484887377,1.58905,0.932542891917365,18
IDS,2,0,5000,1,2,40,-0.0489179715783337,0,2.44996095719842,5221.71594292031,0.3064,0.22085,1.19970014087251,4.9004,0.272669307114908,19
IDS,2,0,30000,1,2,40,-0.0469552591400391,9.3862666666666,0.678426407462022,30344.4470718827,0.6785,0.5627,1.86158853490288,1.35695,0.678418710227464,20
IDS,2,-1500,5000,1,2,40,-0.137078178485732,12.617,2.45015940142214,5068.10362753257,0.306549999999998,0.220849999999999,1.19979397189997,4.90035,0.253029729922814,21
IDS,2,-1500,30000,1,2,40,-0.137822281990035,9.3867,0.678449529867102,30347.116047441,0.678450000000002,0.562650000000005,1.8674747674831,1.35685,0.615658273316391,22
IDS,2,-3000,5000,1,2,40,-0.228116198963259,12.6181666666667,9.74185996505948,5071.90525132142,0.306550000000001,0.220749999999995,1.19901033833336,4.90035,0.253225248917223,23
IDS,2,-3000,30000,1,2,40,-0.226307664496744,9.3857,0.678446328894085,30348.6799559465,0.678449999999998,0.562650000000005,1.86711987625913,1.2129,0.624904916838959,24
IDS,2,0,5000,1,2,80,-0.0764644604800348,0,2.44715627371576,5222.45699705372,0.278599999999999,0.200749999999999,1.31138222169233,4.89495,0.248789881678709,25
IDS,2,0,30000,1,2,80,-0.0472117670778213,9.3753666666666,0.677974816712767,30451.7857469469,0.678050000000003,0.563050000000001,1.86176891752164,1.356,0.67794819595631,26
IDS,2,-1500,5000,1,2,80,-0.169394231973911,12.5993333333334,2.44742126613283,5073.23394768482,0.278700000000001,0.200800000000001,1.31178739805609,4.8949,0.230230411019337,27
IDS,2,-1500,30000,1,2,80,-0.14124006800057,9.3761,0.677997982307962,30453.8541227132,0.678000000000001,0.563000000000002,1.87486816159992,1.35605,0.606073020348219,28
IDS,2,-3000,5000,1,2,80,-0.249481725159815,12.5980666666666,9.73068659687732,5073.52886822222,0.2788,0.200900000000001,1.3108284435732,4.89485,0.230487538185483,29
IDS,2,-3000,30000,1,2,80,-0.227912511542399,9.3765333333334,0.67800494976504,30451.230084067,0.677999999999997,0.563050000000004,1.8745830033888,1.35385,0.612306880470062,30
IDS,2,0,5000,1,2,140,-0.085751218533602,0,2.44676505179106,5220.19893309033,0.269750000000002,0.19455,1.34953113187449,4.8943,0.241157671320509,31
IDS,2,0,30000,1,2,140,-0.0461209218638885,9.3743666666667,0.677919061658248,30470.8070097354,0.678000000000004,0.563100000000002,1.86125362663684,1.35585,0.677951723609559,32
IDS,2,-1500,5000,1,2,140,-0.180452557038734,12.5959,2.44712264446332,5074.14930536031,0.269899999999993,0.194599999999994,1.34956434739345,4.89429999999999,0.223108834003663,33
IDS,2,-1500,30000,1,2,140,-0.14089457042769,9.3751666666666,0.677942629894967,30472.0058531316,0.677900000000001,0.563050000000001,1.87571171513527,1.35595,0.603755509349801,34
IDS,2,-3000,5000,1,2,140,-0.259366587046164,12.5946333333334,9.72909777263857,5074.53063863463,0.270049999999998,0.194749999999999,1.34861422507059,4.89425000000001,0.223365453455761,35
IDS,2,-3000,30000,1,2,140,-0.229240958094276,9.37593333333329,0.677954386727739,30470.5248986502,0.677999999999997,0.563099999999999,1.87557714186097,1.35405,0.608916838830806,36
